Kovats.on.DB5,Compound.Name,Source,Data.From
329,trimethylamine,Flavornet,experiment
427,ethanal,Flavornet,experiment
475,ethyl ether,Adams Essential Oil Components,experiment
500,methanethiol,Flavornet,experiment
500,pentane,Flavornet,experiment
505,dimethyl sulfide,Flavornet,experiment
506,propanal,Flavornet,experiment
536,propanol,Flavornet,experiment
547,ethyl formate,Flavornet,experiment
593,diacetyl,Flavornet,experiment
596,butanal,Flavornet,experiment
597,methyl ethyl ketone,Flavornet,experiment
600,acetic acid,Flavornet,experiment
600,hexane,Flavornet,experiment
600,n-hexane,Adams Essential Oil Components,experiment
609,methyl ethyl sulfide,Flavornet,experiment
620,Prenol,Flavornet,estimate
628,ethyl acetate,Flavornet,experiment
636,pentanone,Flavornet,estimate
641,methylbutanal,Flavornet,experiment
646,methyl propanoate,Adams Essential Oil Components,experiment
647,isobutanol,Flavornet,experiment
648,trans-crotonaldehyde,Flavornet,experiment
650,methylbutanal,Flavornet,experiment
655,"3-Pentanone, 2-methyl-",Flavornet,estimate
660,pyrrolidine,Flavornet,estimate
660,"1,2-dichloroethane",Adams Essential Oil Components,experiment
662,isobutyraldehyde,Flavornet,experiment
667,thiophene,Flavornet,experiment
668,ethanol,Flavornet,experiment
668,propanoic acid,Flavornet,experiment
674,methyl methylbutanoate,Flavornet,estimate
675,butanol,Flavornet,experiment
676,butanol,Flavornet,estimate
677,mercaptoacetaldehyde,Flavornet,estimate
680,1-Penten-3-one,Flavornet,experiment
685,methyl methylpropanoate,Flavornet,experiment
685,methyl thiocyanate,Flavornet,experiment
686,3-Penten-1-ol,Flavornet,experiment
699,2-Pentanone,VOCbinbase,experiment
700,"2,3-pentadione",Flavornet,experiment
700,heptane,Flavornet,experiment
700,heptane,Adams Essential Oil Components,experiment
700,"2,3-pentandione",Adams Essential Oil Components,experiment
706,pentanal,Adams Essential Oil Components,experiment
711,pentanone,Flavornet,experiment
712,"α,γ-Dimethylallyl alcohol",Flavornet,experiment
712,hexanone,Flavornet,estimate
713,ethyl propionate,Flavornet,experiment
717,ethyl propanoate,Adams Essential Oil Components,experiment
718,acetoin,Flavornet,experiment
723,methyl butanoate,Flavornet,experiment
729,methyl butanoate,Adams Essential Oil Components,experiment
731,3-methyl-3-buten-1-ol,Adams Essential Oil Components,experiment
732,pentanal,Flavornet,experiment
734,diethyl acetal,Flavornet,experiment
736,3-methyl-1-butanol,Flavornet,experiment
737,norbornene,Adams Essential Oil Components,experiment
739,2-methyl-1-butanol,Flavornet,experiment
741,isopentyl alcohol,Adams Essential Oil Components,experiment
742,thiazole,Adams Essential Oil Components,experiment
745,"Butanoic acid, methyl ester",VOCbinbase,experiment
753,"2-Butenal, 3-methyl-",Flavornet,estimate
